[2021-07-20 12:02:08,557] INFO     root         Serving GET for api/getImage
[2021-07-20 12:02:08,557] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:02:08,558] INFO     root         returning base64 image
[2021-07-20 12:02:09,890] INFO     root         Serving GET for api/getImage
[2021-07-20 12:02:09,890] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:02:09,891] INFO     root         returning base64 image
[2021-07-20 12:02:10,920] INFO     root         Serving GET for api/getImage
[2021-07-20 12:02:10,921] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:02:10,922] INFO     root         returning base64 image
[2021-07-20 12:02:12,255] INFO     root         Serving GET for api/getImage
[2021-07-20 12:02:12,255] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:02:12,255] INFO     root         returning base64 image
[2021-07-20 12:02:13,282] INFO     root         Serving GET for api/getImage
[2021-07-20 12:02:13,282] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:02:13,283] INFO     root         returning base64 image
[2021-07-20 12:02:14,618] INFO     root         Serving GET for api/getImage
[2021-07-20 12:02:14,618] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:02:14,618] INFO     root         returning base64 image
[2021-07-20 12:02:15,642] INFO     root         Serving GET for api/getImage
[2021-07-20 12:02:15,642] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:02:15,642] INFO     root         returning base64 image
[2021-07-20 12:02:16,978] INFO     root         Serving GET for api/getImage
[2021-07-20 12:02:16,978] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:02:16,978] INFO     root         returning base64 image
[2021-07-20 12:02:17,998] INFO     root         Serving GET for api/getImage
[2021-07-20 12:02:17,998] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:02:17,999] INFO     root         returning base64 image
[2021-07-20 12:02:19,338] INFO     root         Serving GET for api/getImage
[2021-07-20 12:02:19,338] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:02:19,338] INFO     root         returning base64 image
[2021-07-20 12:02:20,372] INFO     root         Serving GET for api/getImage
[2021-07-20 12:02:20,372] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:02:20,373] INFO     root         returning base64 image
[2021-07-20 12:02:21,708] INFO     root         Serving GET for api/getImage
[2021-07-20 12:02:21,708] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:02:21,708] INFO     root         returning base64 image
[2021-07-20 12:02:22,732] INFO     root         Serving GET for api/getImage
[2021-07-20 12:02:22,733] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:02:22,733] INFO     root         returning base64 image
[2021-07-20 12:02:24,058] INFO     root         Serving GET for api/getImage
[2021-07-20 12:02:24,058] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:02:24,058] INFO     root         returning base64 image
[2021-07-20 12:02:25,088] INFO     root         Serving GET for api/getImage
[2021-07-20 12:02:25,088] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:02:25,089] INFO     root         returning base64 image
[2021-07-20 12:02:26,429] INFO     root         Serving GET for api/getImage
[2021-07-20 12:02:26,429] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:02:26,429] INFO     root         returning base64 image
[2021-07-20 12:02:27,452] INFO     root         Serving GET for api/getImage
[2021-07-20 12:02:27,452] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:02:27,453] INFO     root         returning base64 image
[2021-07-20 12:02:28,790] INFO     root         Serving GET for api/getImage
[2021-07-20 12:02:28,790] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:02:28,790] INFO     root         returning base64 image
[2021-07-20 12:02:29,817] INFO     root         Serving GET for api/getImage
[2021-07-20 12:02:29,817] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:02:29,818] INFO     root         returning base64 image
[2021-07-20 12:02:31,158] INFO     root         Serving GET for api/getImage
[2021-07-20 12:02:31,158] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:02:31,158] INFO     root         returning base64 image
[2021-07-20 12:02:32,184] INFO     root         Serving GET for api/getImage
[2021-07-20 12:02:32,184] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:02:32,185] INFO     root         returning base64 image
[2021-07-20 12:02:33,511] INFO     root         Serving GET for api/getImage
[2021-07-20 12:02:33,511] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:02:33,511] INFO     root         returning base64 image
[2021-07-20 12:02:34,532] INFO     root         Serving GET for api/getImage
[2021-07-20 12:02:34,532] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:02:34,533] INFO     root         returning base64 image
[2021-07-20 12:02:35,878] INFO     root         Serving GET for api/getImage
[2021-07-20 12:02:35,878] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:02:35,878] INFO     root         returning base64 image
[2021-07-20 12:02:36,902] INFO     root         Serving GET for api/getImage
[2021-07-20 12:02:36,903] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:02:36,903] INFO     root         returning base64 image
[2021-07-20 12:02:38,228] INFO     root         Serving GET for api/getImage
[2021-07-20 12:02:38,228] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:02:38,228] INFO     root         returning base64 image
[2021-07-20 12:02:39,262] INFO     root         Serving GET for api/getImage
[2021-07-20 12:02:39,262] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:02:39,263] INFO     root         returning base64 image
[2021-07-20 12:02:40,609] INFO     root         Serving GET for api/getImage
[2021-07-20 12:02:40,609] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:02:40,609] INFO     root         returning base64 image
[2021-07-20 12:02:41,632] INFO     root         Serving GET for api/getImage
[2021-07-20 12:02:41,633] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:02:41,633] INFO     root         returning base64 image
[2021-07-20 12:02:42,968] INFO     root         Serving GET for api/getImage
[2021-07-20 12:02:42,968] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:02:42,968] INFO     root         returning base64 image
[2021-07-20 12:02:44,003] INFO     root         Serving GET for api/getImage
[2021-07-20 12:02:44,004] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:02:44,004] INFO     root         returning base64 image
[2021-07-20 12:02:45,348] INFO     root         Serving GET for api/getImage
[2021-07-20 12:02:45,348] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:02:45,348] INFO     root         returning base64 image
[2021-07-20 12:02:46,378] INFO     root         Serving GET for api/getImage
[2021-07-20 12:02:46,378] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:02:46,379] INFO     root         returning base64 image
[2021-07-20 12:02:47,729] INFO     root         Serving GET for api/getImage
[2021-07-20 12:02:47,729] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:02:47,729] INFO     root         returning base64 image
[2021-07-20 12:02:48,753] INFO     root         Serving GET for api/getImage
[2021-07-20 12:02:48,753] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:02:48,754] INFO     root         returning base64 image
[2021-07-20 12:02:50,088] INFO     root         Serving GET for api/getImage
[2021-07-20 12:02:50,088] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:02:50,088] INFO     root         returning base64 image
[2021-07-20 12:02:51,123] INFO     root         Serving GET for api/getImage
[2021-07-20 12:02:51,123] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:02:51,124] INFO     root         returning base64 image
[2021-07-20 12:02:52,458] INFO     root         Serving GET for api/getImage
[2021-07-20 12:02:52,458] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:02:52,458] INFO     root         returning base64 image
[2021-07-20 12:02:53,487] INFO     root         Serving GET for api/getImage
[2021-07-20 12:02:53,487] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:02:53,488] INFO     root         returning base64 image
[2021-07-20 12:02:54,838] INFO     root         Serving GET for api/getImage
[2021-07-20 12:02:54,838] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:02:54,838] INFO     root         returning base64 image
[2021-07-20 12:02:55,875] INFO     root         Serving GET for api/getImage
[2021-07-20 12:02:55,875] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:02:55,876] INFO     root         returning base64 image
[2021-07-20 12:02:57,233] INFO     root         Serving GET for api/getImage
[2021-07-20 12:02:57,233] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:02:57,233] INFO     root         returning base64 image
[2021-07-20 12:02:58,259] INFO     root         Serving GET for api/getImage
[2021-07-20 12:02:58,259] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:02:58,260] INFO     root         returning base64 image
[2021-07-20 12:02:59,608] INFO     root         Serving GET for api/getImage
[2021-07-20 12:02:59,608] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:02:59,608] INFO     root         returning base64 image
[2021-07-20 12:03:00,632] INFO     root         Serving GET for api/getImage
[2021-07-20 12:03:00,632] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:03:00,633] INFO     root         returning base64 image
[2021-07-20 12:03:01,988] INFO     root         Serving GET for api/getImage
[2021-07-20 12:03:01,988] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:03:01,988] INFO     root         returning base64 image
[2021-07-20 12:03:03,013] INFO     root         Serving GET for api/getImage
[2021-07-20 12:03:03,013] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:03:03,014] INFO     root         returning base64 image
[2021-07-20 12:03:04,368] INFO     root         Serving GET for api/getImage
[2021-07-20 12:03:04,368] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:03:04,368] INFO     root         returning base64 image
[2021-07-20 12:03:05,405] INFO     root         Serving GET for api/getImage
[2021-07-20 12:03:05,405] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:03:05,406] INFO     root         returning base64 image
[2021-07-20 12:03:06,748] INFO     root         Serving GET for api/getImage
[2021-07-20 12:03:06,748] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:03:06,748] INFO     root         returning base64 image
[2021-07-20 12:03:07,775] INFO     root         Serving GET for api/getImage
[2021-07-20 12:03:07,775] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:03:07,776] INFO     root         returning base64 image
[2021-07-20 12:03:09,115] INFO     root         Serving GET for api/getImage
[2021-07-20 12:03:09,115] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:03:09,115] INFO     root         returning base64 image
[2021-07-20 12:03:10,148] INFO     root         Serving GET for api/getImage
[2021-07-20 12:03:10,148] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:03:10,149] INFO     root         returning base64 image
[2021-07-20 12:03:11,493] INFO     root         Serving GET for api/getImage
[2021-07-20 12:03:11,493] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:03:11,493] INFO     root         returning base64 image
[2021-07-20 12:03:12,525] INFO     root         Serving GET for api/getImage
